Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","032","Argentine","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","729804","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","816113.84","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","16919427.71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","16696755.66","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","1130892.29","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","1112031.72","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","1229413.51","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","1209529.08","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","2501267.13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","2585064.58","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","56440.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","56773.71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","41427.98","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","42910.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","919065.16","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","899801.87","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","53421.41","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","51589.3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","66050.59","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","66600.54","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","20853601","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","21511976.38","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","320220","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","353390.95","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","733990","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","752302.52","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","10003582.88","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","10110323.05","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","659377.56","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","666925.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","725134.99","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","728006.09","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","8131148","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","8232743.12","E","Valeur estimée"
